fuente,titulo,url
Computrabajo,Ejecutivo Call Center / Sueldo Fijo + Movilidad S/. 1600 / Arequipa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#501F4C7A0EA6E64161373E686DCF3405
Computrabajo,Ejecutivo Call Center / Sueldo Fijo + Movilidad S/. 1500 / Pucallpa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#77AD98F9895BCF7961373E686DCF3405
Computrabajo,Ejecutivo Comercial / Sueldo fijo + Movilidad S/. 2200 / Cusco,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1EE893B3854A72CD61373E686DCF3405
Computrabajo,Ejecutivo Corporativo / Sueldo base + Movilidad + Capacitaciones en Tarapoto,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#883E43A4CA1E5C6761373E686DCF3405
Computrabajo,"Ejecutivo Corporativo B2B/ Comisiones hasta S/. 10,000 mensuales (Cusco)",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#84F863D6F27C853F61373E686DCF3405
Computrabajo,Encargado de produccion Materiales Pop Retail,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#3E36873CEB6E953461373E686DCF3405
Computrabajo,Ejecutivo de Ventas / Modalidad híbrida / Sueldo fijo de hasta S/. 2000 en Chiclayo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#F656165DC989186061373E686DCF3405
Computrabajo,Ejecutivo de ventas corporativas – Culqi / Sueldo fijo – Chiclayo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#A3DE6D0B0AB518B261373E686DCF3405
Computrabajo,Volantero(a),https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#59E520A06BC646BB61373E686DCF3405
Computrabajo,Arquitecto/a de Interiores – Atención de Clientes Retail,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#09CEF697D075291261373E686DCF3405
Computrabajo,Diseñador/a Front End UX · Prototipado,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#0DEB4A761E83EB5461373E686DCF3405
Computrabajo,Ejecutivo de Ventas / Modalidad híbrida / Sueldo fijo de hasta S/. 2000 en Trujillo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#7A90639DBAAA6BF761373E686DCF3405
Computrabajo,Ejecutivo de ventas corporativas – Culqi / Sueldo fijo – Trujillo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#70724ECC0EA1C93F61373E686DCF3405
Computrabajo,"Ejecutivo Corporativo B2B/ Comisiones hasta S/. 10,000 mensuales (Arequipa)",https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#55CF8DBBD79B63DC61373E686DCF3405
